KEYWORD,HASH TAGS,HANDLE,CONDITIONS
Quickmeme,#Quickmeme,@quickmeme,re-tweeted more than 5 times
Cheezburger,#Cheezburger,@cheezburger,has been favorited at least once
weknowmemes,#weknowmemes,@knowyourmeme,is within a specific image width and height range for Discovery & Timelines
Memehumor,#Memehumor,@meme,Turn all RTs and Favorites into Comments & Likes (data)
funnymemes,#funnymemes,@ICHCheezburger,
meme,#meme,@SoVeryAwkward,
memegenerator,#funnymeme,@lol_daily,
funnymeme,#funnymemepics,@MundoMemes,
Funny Meme Pics,#memepics,@memebasealpha,
Meme Pics,#memegenerator,@MemesMexico,
LOLcats,#funny,@tweetmeme,
LOL,#funny cat,@Y_U_NO,
LOLcat,#LOLcats,@MemeWillyWonka,
Animal Capshunz,#LOL,@BuzzFeed,
funny,#LOLcat,@FunnyMemePics,
funny cat,#AnimalCapshunz,@funny_memes,
funny cats,#funnycats,@memefun_,
Funny Pictures,#funnypictures,@DailyMeme,
Funny Pics,#funnypics,@cracked,
OMG,#omg,@thelolcats,
OMG!!,#omg!!,@TM_Comedy,
Crazy Pic,#crazypic,@HSKittens,
Crazy Pics,#crazypics,@ICHCheezburger,
Crazy PIcture,#crazypicutre,@brians_cat,
9gag,,@ICHC,
9gag.com/gag/,,@SoVeryAwkward,
 http://www.break.com/pictures/cute-chick-in-mid-head-bang1371747.html,,@lol_daily,
http://knowyourmeme.com/photos.rss,,@Stewie,
,,@Broslife,
,,@Darthvader,
,,@FrodoBaggins,
,,@uberhumor,
,,@Funny_Junk,
,,@CollegeHumor,
,,@cracked,
,,@adultswim,
,,@killsometimecom,
,,@Breakcom,
,,@viralviralvideo,
,,@9gag,
,,@videochart,
,,@devour,